                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5291,                 6.4754,                 1.5248,                0.00047,                0.07635,                 0.0402,                0.02683,                 2.0805,                 4.7553,                 1.3562,             0.00040675,             0.00040675,             0.00040675
                      1,                 1.6256,                 3.3798,                 1.0403,                  0.398,                 0.3523,                 0.3894,                0.26519,                 1.2919,                 2.5823,                0.90643,             0.00081526,             0.00081526,             0.00081526
                      2,                 1.3705,                 2.4626,                0.92483,                0.76081,                0.49399,                0.61796,                0.42723,                 1.0371,                 1.6874,                0.86531,              0.0012155,              0.0012155,              0.0012155
                      3,                 1.2667,                 2.0511,                0.91334,                0.74798,                0.63395,                0.73232,                0.51954,                0.93417,                  1.294,                0.84571,              0.0012129,              0.0012129,              0.0012129
                      4,                  1.253,                 1.7832,                0.90478,                0.82265,                0.70385,                   0.81,                0.54358,                0.98304,                 1.0696,                0.85112,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1377,                 1.5114,                0.88805,                0.83774,                 0.7102,                0.83965,                0.62772,                0.82521,                0.88083,                0.82403,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.0874,                 1.3758,                0.86658,                0.90951,                0.68387,                0.85671,                 0.6088,                 0.9012,                0.86874,                0.83351,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0606,                 1.2376,                0.87236,                0.85479,                0.72173,                0.88793,                 0.6176,                0.89128,                0.80653,                0.82977,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0428,                 1.1345,                0.85348,                0.94212,                0.73026,                0.89807,                0.64269,                0.83712,                0.73346,                0.82145,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0025,                 1.0124,                0.85419,                0.90055,                0.78717,                0.92483,                0.65541,                 0.8605,                0.75305,                0.82299,               0.001151,               0.001151,               0.001151
                     10,                 1.0164,                0.96994,                0.85744,                0.89483,                0.80397,                0.91279,                0.69169,                0.78599,                0.61523,                0.81708,              0.0011386,              0.0011386,              0.0011386
                     11,                0.97856,                 0.9419,                0.84367,                0.94622,                0.81378,                0.91893,                0.67264,                0.87606,                0.62002,                0.82182,              0.0011263,              0.0011263,              0.0011263
                     12,                0.94558,                 0.8614,                0.84138,                0.92413,                 0.8334,                0.91634,                 0.6803,                0.81484,                0.58302,                0.81236,              0.0011139,              0.0011139,              0.0011139
                     13,                0.92665,                0.83065,                0.84819,                0.96639,                0.83033,                0.92678,                0.70202,                0.77609,                0.56661,                0.80982,              0.0011015,              0.0011015,              0.0011015
                     14,                0.96822,                0.82492,                0.84364,                0.98224,                0.82026,                0.93354,                0.69465,                0.80402,                0.55301,                0.81186,              0.0010891,              0.0010891,              0.0010891
                     15,                0.92293,                0.78642,                0.84677,                0.95637,                0.83779,                0.93489,                0.69478,                0.75882,                0.52992,                0.80603,              0.0010768,              0.0010768,              0.0010768
                     16,                 0.9152,                0.76916,                0.84181,                0.93269,                0.82841,                0.94863,                0.72107,                0.74185,                0.55085,                0.80464,              0.0010644,              0.0010644,              0.0010644
                     17,                0.90099,                0.72789,                0.83583,                0.92648,                0.84285,                0.93365,                0.70177,                0.82255,                 0.5359,                0.81451,               0.001052,               0.001052,               0.001052
                     18,                0.91851,                0.73841,                0.83662,                0.96572,                0.79547,                 0.9446,                0.70239,                0.81437,                0.54781,                0.81301,              0.0010396,              0.0010396,              0.0010396
                     19,                0.92413,                0.71561,                  0.838,                0.97864,                0.85391,                0.96135,                0.73811,                0.76395,                0.49483,                0.80513,              0.0010273,              0.0010273,              0.0010273
                     20,                0.92835,                0.72025,                0.83718,                0.93737,                0.87871,                0.95584,                0.71784,                0.73691,                0.50912,                0.80656,              0.0010149,              0.0010149,              0.0010149
                     21,                0.87846,                0.68155,                0.82737,                0.97204,                0.85396,                0.94703,                0.71775,                0.79687,                0.50925,                0.80941,              0.0010025,              0.0010025,              0.0010025
                     22,                0.84387,                0.66364,                0.82639,                0.97686,                0.82787,                0.95473,                0.72801,                0.75071,                0.50802,                0.80584,             0.00099013,             0.00099013,             0.00099013
                     23,                0.88416,                0.66217,                0.83065,                0.90665,                0.86663,                0.95167,                0.73764,                0.75012,                0.48071,                0.80124,             0.00097775,             0.00097775,             0.00097775
                     24,                 0.8733,                0.66096,                0.83453,                0.95788,                0.87224,                0.95197,                0.71742,                0.75309,                0.48894,                0.80465,             0.00096537,             0.00096537,             0.00096537
                     25,                0.85174,                0.64089,                0.83086,                0.96577,                0.86172,                0.95621,                0.72289,                0.76921,                0.47964,                 0.8028,               0.000953,               0.000953,               0.000953
                     26,                0.84154,                0.62449,                0.82727,                0.93754,                0.91809,                0.96802,                0.73943,                0.70715,                0.45765,                0.79998,             0.00094062,             0.00094062,             0.00094062
                     27,                0.83679,                0.61272,                0.82924,                0.88907,                0.90146,                0.96254,                0.76263,                0.67669,                 0.4655,                0.79571,             0.00092825,             0.00092825,             0.00092825
                     28,                0.80081,                0.60436,                0.82351,                 0.9333,                0.92022,                0.96446,                0.73523,                0.72604,                 0.4754,                0.80181,             0.00091588,             0.00091588,             0.00091588
                     29,                0.82357,                0.58935,                0.82922,                 0.9746,                0.90819,                0.96617,                 0.7414,                0.75901,                0.46014,                0.80396,              0.0009035,              0.0009035,              0.0009035
                     30,                0.82147,                0.58867,                0.82524,                0.94574,                0.90217,                0.96532,                0.72501,                0.75048,                0.47632,                0.80234,             0.00089112,             0.00089112,             0.00089112
                     31,                0.81412,                0.59437,                0.82243,                0.94049,                0.88282,                0.96547,                0.76101,                0.72207,                 0.4565,                0.79662,             0.00087875,             0.00087875,             0.00087875
                     32,                0.82125,                0.58218,                0.82179,                0.96579,                0.90959,                0.96629,                0.71203,                0.79691,                0.47161,                0.80923,             0.00086637,             0.00086637,             0.00086637
                     33,                0.83671,                0.58328,                0.82093,                0.92401,                0.90896,                0.96752,                0.73795,                0.76697,                 0.4535,                0.80196,               0.000854,               0.000854,               0.000854
                     34,                0.80483,                0.55859,                0.82671,                 0.9646,                  0.905,                0.96797,                0.74347,                0.72696,                0.43241,                0.79983,             0.00084162,             0.00084162,             0.00084162
                     35,                0.80127,                0.55297,                0.82947,                0.97017,                0.91897,                0.96205,                0.72521,                 0.7202,                0.45489,                0.79716,             0.00082925,             0.00082925,             0.00082925
                     36,                0.78302,                0.54223,                0.81909,                0.91688,                0.92211,                0.95439,                0.73394,                0.69831,                0.46368,                 0.7947,             0.00081688,             0.00081688,             0.00081688
                     37,                0.81723,                0.57472,                0.81826,                0.95056,                0.88241,                0.96356,                0.73721,                0.73777,                0.45083,                0.80156,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.8059,                0.54878,                0.82651,                 0.9685,                0.89456,                0.96328,                0.76083,                0.67462,                0.43004,                0.79242,             0.00079213,             0.00079213,             0.00079213
                     39,                0.78568,                0.54662,                0.81195,                0.93619,                0.91478,                0.95979,                0.75245,                0.68657,                0.42591,                0.79375,             0.00077975,             0.00077975,             0.00077975
                     40,                0.78366,                0.52737,                0.82057,                0.94281,                0.90339,                0.96315,                0.74972,                0.71351,                0.42652,                0.79439,             0.00076738,             0.00076738,             0.00076738
                     41,                0.76431,                0.52512,                0.81524,                0.97672,                0.87514,                0.95941,                 0.7646,                0.66996,                0.41934,                0.78971,               0.000755,               0.000755,               0.000755
                     42,                 0.7569,                0.52331,                0.80921,                 0.9354,                0.92503,                0.96662,                0.74791,                0.69157,                0.42553,                 0.7886,             0.00074263,             0.00074263,             0.00074263
                     43,                0.76264,                0.51858,                0.81219,                0.97095,                 0.9098,                0.96976,                0.75217,                0.67026,                0.42213,                0.79032,             0.00073025,             0.00073025,             0.00073025
                     44,                0.79852,                 0.5293,                0.81277,                0.93201,                0.92771,                0.96558,                0.73088,                0.72779,                0.43176,                 0.7979,             0.00071788,             0.00071788,             0.00071788
                     45,                0.77421,                0.53177,                0.81049,                0.93645,                0.89121,                0.97041,                0.73314,                0.72937,                0.43387,                 0.7961,              0.0007055,              0.0007055,              0.0007055
