                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.76663,                0.52688,                0.81825,                0.93319,                0.90427,                0.96995,                0.75719,                0.71727,                0.42687,                0.79445,             0.00069313,             0.00069313,             0.00069313
                     47,                0.78777,                0.53934,                0.81755,                0.96708,                0.89175,                0.97102,                0.77985,                0.67895,                0.40478,                0.79094,             0.00068075,             0.00068075,             0.00068075
                     48,                0.76395,                0.51068,                0.81854,                0.93002,                0.93462,                0.96822,                 0.7624,                0.70943,                0.42629,                0.79404,             0.00066838,             0.00066838,             0.00066838
                     49,                0.75535,                0.51781,                0.80522,                0.96376,                0.88842,                0.96304,                0.75021,                0.70325,                0.42686,                0.79133,               0.000656,               0.000656,               0.000656
                     50,                0.72901,                0.49216,                0.81368,                0.94709,                 0.9272,                 0.9666,                0.73924,                 0.7138,                0.43175,                0.79191,             0.00064362,             0.00064362,             0.00064362
                     51,                0.74107,                 0.4833,                0.81768,                 0.9602,                0.93545,                0.97035,                0.75827,                0.68079,                0.39556,                0.79214,             0.00063125,             0.00063125,             0.00063125
                     52,                0.70513,                0.46724,                0.80988,                0.98182,                0.93095,                0.97316,                0.78124,                0.65795,                0.39322,                0.78809,             0.00061887,             0.00061887,             0.00061887
                     53,                0.74811,                0.49367,                 0.8114,                0.99299,                0.87663,                0.96981,                0.78763,                0.63158,                0.38549,                0.78896,              0.0006065,              0.0006065,              0.0006065
                     54,                 0.7363,                0.49487,                0.80742,                0.97242,                0.92558,                0.97693,                0.78817,                0.64603,                0.38595,                 0.7864,             0.00059413,             0.00059413,             0.00059413
                     55,                0.70131,                0.47013,                0.80649,                0.97805,                0.90859,                0.97034,                0.78328,                0.67699,                0.38695,                0.78816,             0.00058175,             0.00058175,             0.00058175
                     56,                0.70235,                0.46688,                0.81275,                 0.9811,                0.93375,                0.97641,                0.76515,                0.68912,                0.38458,                0.79149,             0.00056938,             0.00056938,             0.00056938
                     57,                0.70306,                0.46635,                  0.812,                0.97308,                0.93163,                0.97765,                0.78302,                0.66582,                0.37981,                0.78771,               0.000557,               0.000557,               0.000557
                     58,                0.71525,                0.47985,                0.80768,                0.97242,                0.93618,                0.97144,                0.76577,                0.69162,                0.39466,                0.78819,             0.00054463,             0.00054463,             0.00054463
                     59,                0.68645,                0.45367,                0.80576,                0.93014,                0.95667,                0.97151,                0.77137,                0.68755,                0.38772,                0.79226,             0.00053225,             0.00053225,             0.00053225
                     60,                0.73223,                0.47062,                0.80553,                0.96553,                0.93222,                0.96927,                0.78645,                0.68107,                0.39419,                0.78776,             0.00051988,             0.00051988,             0.00051988
                     61,                0.72234,                0.46848,                0.80649,                0.96052,                0.93723,                0.97292,                0.77421,                0.68999,                0.38685,                0.78814,              0.0005075,              0.0005075,              0.0005075
                     62,                0.71983,                0.46365,                 0.8093,                0.96102,                0.93665,                0.96944,                0.77588,                0.67794,                0.38314,                0.78989,             0.00049513,             0.00049513,             0.00049513
                     63,                0.67047,                0.44485,                 0.8049,                0.97711,                0.92941,                0.96512,                0.75651,                0.70127,                 0.3941,                0.79087,             0.00048275,             0.00048275,             0.00048275
                     64,                0.71331,                0.46694,                0.80553,                0.95947,                0.93365,                0.96489,                0.76735,                0.65884,                0.38717,                 0.7878,             0.00047038,             0.00047038,             0.00047038
                     65,                0.72424,                0.46344,                0.81457,                0.96079,                0.93834,                0.97508,                0.77195,                0.65093,                0.38151,                0.78665,               0.000458,               0.000458,               0.000458
                     66,                0.68682,                0.44618,                0.80563,                0.97265,                0.91319,                0.96884,                0.76564,                0.70909,                0.39945,                0.79006,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.6974,                0.45403,                0.80637,                0.95034,                 0.9285,                0.96608,                0.75274,                0.68796,                0.39291,                0.79149,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.6915,                 0.4495,                0.80812,                0.98295,                0.92193,                0.96251,                0.76573,                0.67965,                0.38819,                 0.7878,             0.00042087,             0.00042087,             0.00042087
                     69,                 0.6858,                0.44047,                0.79717,                0.96729,                 0.9231,                0.96445,                0.76186,                0.66938,                  0.389,                0.78764,              0.0004085,              0.0004085,              0.0004085
                     70,                0.72723,                0.46049,                0.81481,                0.97573,                0.92061,                0.96489,                0.77178,                0.66651,                0.38245,                0.78412,             0.00039613,             0.00039613,             0.00039613
                     71,                0.67648,                0.43387,                0.80211,                0.98332,                0.91832,                0.96161,                0.77401,                0.65442,                0.38553,                0.78819,             0.00038375,             0.00038375,             0.00038375
                     72,                0.69092,                0.44893,                0.80609,                  0.944,                0.94077,                0.96364,                0.76557,                0.66102,                0.38181,                0.78835,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.6817,                0.43437,                0.80603,                0.96358,                 0.9313,                0.96743,                0.76797,                0.65641,                 0.3737,                0.78574,               0.000359,               0.000359,               0.000359
                     74,                  0.682,                0.43741,                 0.8058,                0.95487,                0.93655,                0.97115,                 0.7729,                 0.6519,                0.37297,                0.78656,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68707,                0.44142,                0.80357,                0.95938,                0.93216,                0.97043,                0.78996,                0.63899,                0.37419,                0.78604,             0.00033425,             0.00033425,             0.00033425
                     76,                0.67878,                 0.4342,                0.80092,                0.96871,                0.93194,                0.97026,                0.78363,                0.62865,                0.38031,                0.78744,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.7008,                0.45009,                0.80156,                 0.9607,                0.92964,                0.96945,                0.77872,                  0.656,                0.36467,                 0.7874,              0.0003095,              0.0003095,              0.0003095
                     78,                0.67609,                0.42924,                0.80519,                0.96157,                0.92413,                0.96942,                0.77831,                0.64901,                0.36853,                0.78658,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67857,                0.42265,                0.80954,                0.95474,                 0.9435,                0.96591,                0.77664,                0.66835,                  0.367,                0.78848,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.6669,                0.42588,                0.80773,                0.97367,                0.93365,                 0.9668,                0.77159,                0.65928,                0.37159,                0.78824,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.6603,                0.42797,                0.80115,                0.98108,                0.92174,                0.96568,                0.78763,                0.64726,                0.37678,                 0.7876,                0.00026,                0.00026,                0.00026
                     82,                0.65702,                0.41402,                0.80797,                0.97604,                0.92335,                0.96315,                 0.7832,                0.64085,                0.36816,                0.78391,             0.00024762,             0.00024762,             0.00024762
                     83,                0.68209,                0.43654,                0.80426,                0.95489,                0.91785,                0.96343,                0.76942,                0.64923,                 0.3759,                0.78552,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.6622,                0.42879,                0.80219,                0.97236,                0.91328,                0.96441,                 0.7643,                0.65219,                0.38231,                0.78495,             0.00022288,             0.00022288,             0.00022288
                     85,                0.66819,                0.41457,                0.80661,                  0.966,                0.93365,                0.96345,                0.76765,                0.66036,                0.38132,                0.78591,              0.0002105,              0.0002105,              0.0002105
                     86,                0.67631,                0.42203,                0.80557,                0.96382,                0.93143,                0.96665,                 0.7679,                0.65251,                 0.3702,                 0.7866,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.6563,                0.42018,                0.80136,                0.96482,                0.93074,                0.96823,                0.77413,                0.65045,                0.36661,                0.78638,             0.00018575,             0.00018575,             0.00018575
                     88,                0.66445,                0.41679,                0.80193,                0.98016,                0.90143,                0.97101,                0.77571,                0.63153,                  0.357,                0.78605,             0.00017338,             0.00017338,             0.00017338
                     89,                0.66706,                 0.4249,                0.79734,                 0.9798,                0.91121,                0.97068,                0.77607,                0.65263,                0.37034,                0.78755,               0.000161,               0.000161,               0.000161
                     90,                0.64655,                0.40131,                0.79574,                0.96152,                0.90673,                0.96944,                0.78385,                 0.6485,                0.36441,                0.78514,             0.00014862,             0.00014862,             0.00014862
                     91,                0.65013,                0.40058,                0.80043,                0.92894,                0.94621,                0.96641,                0.77654,                0.64504,                0.37327,                0.78534,             0.00013625,             0.00013625,             0.00013625
                     92,                0.65636,                0.41315,                0.80483,                0.98011,                0.91307,                0.96842,                0.78187,                0.64058,                0.36141,                 0.7865,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.6261,                0.39277,                 0.7961,                 0.9714,                0.91641,                0.97005,                0.78234,                0.65053,                0.36054,                0.78624,              0.0001115,              0.0001115,              0.0001115
                     94,                0.64278,                0.38871,                0.80313,                0.97429,                0.91641,                0.97025,                0.78818,                 0.6579,                0.35867,                0.78589,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.64406,                0.40005,                0.80304,                0.97281,                0.92491,                0.96959,                0.77447,                 0.6659,                0.36445,                0.78786,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.64102,                0.40184,                0.80259,                0.97726,                0.92478,                0.96876,                0.78873,                0.65399,                0.36362,                0.78498,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.63844,                0.40273,                0.79677,                0.98188,                0.91228,                0.96941,                0.78542,                0.65182,                0.36298,                0.78589,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.62606,                0.39694,                0.79471,                0.98445,                0.90987,                0.96911,                0.78302,                 0.6577,                0.36566,                0.78437,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.65021,                0.40277,                0.79573,                0.98302,                0.91114,                0.96949,                0.78803,                0.65562,                0.35838,                0.78466,              3.725e-05,              3.725e-05,              3.725e-05
